vd	0	a	0	1	-22549412423963521278234	-22549412423963521277143	0	0
vd	0	m	1	512	-19351984406555545796131	-19351984406555545793980	3080208490606167540031147	3080208490606167540032723
vd	1	a	1	256	-11823133635325401169353	-11823133635325401167233	4217613429473257316802403	4217613429473257316804046
vd	1	m	5	1024	-7822004390551500639076	-7822004390551500636943	3888094306577397477021165	3888094306577397477022828
vd	2	a	3	512	-4372801320909982764832	-4372801320909982762687	3119839651619597113261397	3119839651619597113282392
vd	2	m	13	2048	-2965247965206977828746	-2965247965206977826583	2638866860725946498721731	2638866860725946498748785
vd	3	a	7	1024	-1799836514299684035317	-1799836514299684033139	2132941160103601542016923	2132941160103601542050180
vd	3	m	15	2048	-881711840198721039718	-881711840198721037533	1630508650352976026543667	1630508650352976026620483
vd	3	q1	29	4096	-1310075749435595644657	-1310075749435595642489	1879614493082297098004651	1879614493082297098041012
vd	3	q3	31	4096	-513336283354265876344	-513336283354265874151	1388675880088008313437681	1388675880088008313520615
vd	4	a	1	128	-202829630378805480698	-202829630378805478480	1156881690322314556456176	1156881690322314556545070
vd	4	m	129	16384	-133934854273759337029	-133934854273759334809	1100795596421877291370555	1100795596421877291460882
vd	5	a	65	8192	-68438549855624466739	-68438549855624464510	1045526267606378816984625	1045526267606378817076400
vd	5	m	261	32768	-36949003562117043986	-36949003562117041770	1018208409705747682567785	1018208409705747682660274
vd	6	a	131	16384	-6289836672825591176	-6289836672825588948	991107191339304754412146	991107191339304754505320
vd	6	m	1049	131072	1245987498487624612	1245987498487626845	984366203372328966800059	984366203372328966893425
vd	6	q1	2097	262144	-2515495878863784388	-2515495878863782155	987734969995458768262572	987734969995458768355845
vd	6	q3	2099	262144	4994626652495138720	4994626652495140961	981000899096159311204478	981000899096159311297938
ad	6	m	1049	131072	-92030550889989815411	-92030550889989814081
ad	6	b	525	65536	-92030512800328009959	-92030512800328008623
vd	7	a	525	65536	8730434805475497951	8730434805475500191	977639064771393786519101	977639064771393786612644
vd	7	m	1051	131072	16163611142373685268	16163611142373687507	970925836284753054312275	970925836284753054405987
ad	7	a	525	65536	-92030512800328009959	-92030512800328008623
ad	7	b	263	32768	-92030266293313480510	-92030266293313479180
vd	8	a	263	32768	23545622865558014733	23545622865558016967	964226578311339688012123	964226578311339688106021
vd	8	m	527	65536	38156580190982910867	38156580190982913103	950870213750238912550853	950870213750238912645131
ad	8	a	263	32768	-92030266293313480510	-92030266293313479180
ad	8	b	33	4096	-92029102881294830048	-92029102881294828719
vd	9	a	33	4096	52564166774114220253	52564166774114222492	937570447273742792965281	937570447273742793059878
vd	9	m	67	8192	160609055651557481746	160609055651557483987	833265126811171240975669	833265126811171241073038
ad	9	a	33	4096	-92029102881294830048	-92029102881294828719
ad	9	b	17	2048	-91990400269519822551	-91990400269519821208
vd	10	a	17	2048	256155877125984714592	256155877125984716846	732838135033577227067150	732838135033577227167185
vd	10	m	35	4096	411723370113365168394	411723370113365170673	544412597680017700315087	544412597680017700420250
ad	10	a	17	2048	-91990400269519822551	-91990400269519821208
ad	10	b	9	1024	-91792934444484248413	-91792934444484247088
vd	11	a	9	1024	523420102862191043995	523420102862191046280	373641426341169299518415	373641426341169299628375
vd	11	m	19	2048	633131675474749447051	633131675474749449378	88531990218648944876924	88531990218648944995229
ad	11	a	9	1024	-91792934444484248413	-91792934444484247088
ad	11	b	5	512	-91194231899796034124	-91194231899796032809
vd	12	a	5	512	622485702800049410487	622485702800049412897	-119299322849629900943560	-119299322849629900793283
