0.5989667792593105	0.1926097320089688	-0.33305794845649145	400
0.25	1.258710132416964e-07	1.2779907570798846e-09
0.5	6.81385929505668e-09	1.5185527698948513e-10
0.75	1.3006457604789787e-09	4.675346096354275e-11
1.0	4.1618218342092784e-10	2.1678540866981322e-11
1.25	1.749754355614567e-10	1.2758127803231504e-11
1.5	8.660006772782027e-11	8.865701698794912e-12
1.75	4.751182186196668e-11	6.995632062806176e-12
2.0	2.782556069757777e-11	6.024428737914248e-12
2.25	1.6953325545157816e-11	5.2147512028133035e-12
2.5	1.0620066548413333e-11	3.243159025249034e-12
2.75	7.323934798045167e-12	0.0
3.0	1.6911849449421794e-11	-1.6016590282918146e-10
3.25	0.030047130449896934	-0.33349545066418523
3.5	1.1345873630265719e-11	-5.472340420819166e-11
3.75	9.056792223399424e-12	0.0
4.0	1.031155866090278e-11	-1.7805549599430855e-11
4.25	1.4037434598556313e-11	-1.5795507811567518e-11
4.5	2.1356722610346975e-11	-1.68271486938779e-11
4.75	3.564443069501087e-11	-2.1377836909262542e-11
5.0	6.664480071821577e-11	-3.314563975105966e-11
5.25	1.5092747340305665e-10	-6.71718124431213e-11
5.5	5.329183321758901e-10	-2.1737678538042016e-10
5.75	0.0814149839603453	-0.021195590853498737
6.0	0.25274361651006	-0.09925700199138873
6.25	0.017201307588991018	0.19213101037840505
6.5	4.4435987909132373e-10	1.0463280380818825e-09
6.75	2.137316989798689e-10	2.8290319115787514e-10
7.0	1.575445655142964e-10	1.6438209492235466e-10
7.25	1.4474904010701407e-10	1.3418097503834773e-10
7.5	1.58963648997281e-10	1.3822552557161752e-10
7.75	2.0797613179717317e-10	1.7422148169447322e-10
8.0	3.329549986204477e-10	2.730049639614458e-10
8.25	7.077107107761037e-10	5.799192688635313e-10
8.5	2.6090357046986276e-09	2.2635338943407904e-09
8.75	0.13448412608081695	0.1442579525545303
9.0	4.0207973743303365e-09	7.08655377355857e-09
9.25	6.935197736206737e-10	3.3041378338953446e-09
9.5	0.0030380825821081487	-0.043410432613023915
9.75	3.2350214914915585e-10	-1.1840578291897166e-09
10.0	2.0257654663725578e-10	-4.689054196614156e-10
10.25	1.5989495239990635e-10	-2.831177591767556e-10
10.5	1.4752470645006886e-10	-2.1547741340625811e-10
10.75	1.565116485478229e-10	-1.955130980732984e-10
11.0	1.9171005632712342e-10	-2.0873588247184094e-10
11.25	2.781949274884698e-10	-2.6637193124774627e-10
11.5	5.143106652935196e-10	-4.3110497548913674e-10
11.75	1.5348759924202015e-09	-1.0748814406911513e-09
12.0	0.00785224039476293	-0.0033508288906218295
12.25	0.0419280495545673	-0.013479481352060426
12.5	0.0047213253469980095	0.036962299230836
12.75	6.899026316667514e-10	2.7359701988185066e-09
13.0	2.546100640060725e-10	3.7243020001434774e-10
13.25	1.6043650506845238e-10	1.330526688707727e-10
13.5	1.2304388383752168e-10	7.449183681726258e-11
13.75	1.0825249104716276e-10	5.866811708209524e-11
14.0	1.0730464302985691e-10	6.065187431783411e-11
14.25	1.1948579788325476e-10	7.774134230445787e-11
14.5	1.506921552368973e-10	1.194819835192695e-10
14.75	2.206737358346107e-10	2.2012673516409206e-10
15.0	3.9909876971960195e-10	5.119676319291274e-10
15.25	1.066787101119403e-09	1.8398631229719267e-09
15.5	0.0057946150566302495	0.01750998645311425
15.75	0.0022889477816394103	0.030522835933347318
16.0	1.2706556756430782e-09	-2.7334911630279803e-09
16.25	5.659383387856886e-10	-9.22611153532232e-10
16.5	3.0364172110435406e-10	-4.2422044644276463e-10
