vd	24	a	-60925655835428154127	-60925655835339383835	84399614402012102872210	84399614402055100946906
vd	24	m	-51094373673640119566	-51094373673553036474	76738532839574651514260	76738532839616667339676
vd	24	q1	-55893116229357478012	-55893116229269543439	80522257870289037754764	80522257870331549345880
vd	24	q3	-46523717619265694447	-46523717619179478837	73048289194746245736881	73048289194787756566543
vd	25	a	-42175448570332120483	-42175448570246786856	69451315034495977363230	69451315034536974728298
vd	25	m	-34123351140060716602	-34123351139977191702	62536025004896678632327	62536025004936623241688
vd	25	q1	-38043881823232295836	-38043881823147859187	65947337725860911817722	65947337725901387063211
vd	25	q3	-30408212353474818112	-30408212353392219252	59216986121811917589932	59216986121851323357710
vd	26	a	-26892846900349622179	-26892846900267963166	55989773028845687875504	55989773028884546847152
vd	26	m	-20439110446213645038	-20439110446133893983	49808752944808815827608	49808752944846565102888
vd	26	q1	-23571665281670127848	-23571665281589418687	52853881609137417033824	52853881609175723535794
vd	26	q3	-17489661095683817763	-17489661095605035955	46853774622449479467380	46853774622486664772673
vd	27	a	-14717834909069233244	-14717834908991432591	43988282074172671830189	43988282074209286354674
vd	27	m	-9685336393886662328	-9685336393810595626	38522843536393831235374	38522843536429390957149
vd	27	q1	-12118191684112154722	-12118191684035265263	41211559952385040560249	41211559952421110718074
vd	27	q3	-7413922156600882272	-7413922156525645078	35921320168957294712734	35921320168992339999467
vd	28	a	-5298653116853999294	-5298653116779598873	33406130720868763279746	33406130720903289183080
vd	28	m	-1515638994950898731	-1515638994878171083	28631093674437033680763	28631093674470522743359
vd	28	q1	-3334287236695338576	-3334287236621770707	30976371081652254283852	30976371081686263856958
vd	28	q3	162418006599240773	162418006671119585	26369308993070828763883	26369308993103792511585
vd	29	a	1704948531490680220	1704948531561702328	24189987159526129726714	24189987159558563871178
vd	29	m	4403366632080978749	4403366632150264374	20074420135316356824097	20074420135347719167837
vd	29	q1	3116953292470741267	3116953292540898626	22092059499651117104476	22092059499683017323998
vd	29	q3	5569054300867455971	5569054300935863406	18135927591010412436109	18135927591041233282226
vd	30	a	6618811334041364561	6618811334108888450	16275406412941920861048	16275406412972197504318
vd	30	m	8389348012353921751	8389348012419664724	12783416235633533021148	12783416235662714344709
vd	30	q1	7557360027294213196	7557360027360847697	14491648798712447464415	14491648798742176819394
vd	30	q3	9119346432750918661	9119346432815772641	11149441145772761496037	11149441145801396806860
vd	31	a	9751848220146844375	9751848220210804177	9588428535827344554859	9588428535855431252461
vd	31	m	10741932926930034771	10741932926992197983	6679983623586892158153	6679983623613876898668
vd	31	q1	10291266471462855071	10291266471525918497	8099057649939608345560	8099057649967144982125
vd	31	q3	11108096549070978969	11108096549132239009	5329839136698566793093	5329839136724998313906
vd	32	a	11393922202509579855	11393922202569938065	4047236064175232659712	4047236064201112307259
vd	32	m	11740791355119735432	11740791355178282034	1679007507234407115823	1679007507259179745587
vd	32	q1	11603489434395379877	11603489434454833343	2830767122009536397502	2830767122034862924876
vd	32	q3	11809733618893640406	11809733618951278461	590516529952862013865	590516529977080170317
vd	33	a	11814133503651378531	11814133503708106418	-436160764266278408940	-436160764242615141751
vd	33	m	11644128535956411603	11644128536011317406	-2309955790412432118923	-2309955790389878399508
vd	33	q1	11757719089640441404	11757719089696258078	-1402491983310372686392	-1402491983287264459237
vd	33	q3	11476909454181890308	11476909454235885048	-3160040320622352950405	-3160040320600353353369
vd	34	a	11259518378191143418	11259518378244227307	-3954241613437003621076	-3954241613415557453692
vd	34	m	10687588474144352595	10687588474195668285	-5381008888261773092893	-5381008888241405831881
vd	34	q1	10995320329087052438	10995320329139250953	-4694062063127509551461	-4694062063106603803976
vd	34	q3	10339503878542792442	10339503878593226951	-6016592621878632293976	-6016592621858801945205
vd	35	a	9954155348585869893	9954155348636698671	-6602325623727232369492	-6602325623707166064446
vd	35	m	9083560104973141731	9083560105025755125	-7630289243456376726696	-7630289243435233849272
vd	35	q1	9534539365019290752	9534539365071013087	-7139720615938695631575	-7139720615918090531952
vd	35	q3	8604029550981419697	8604029551034919601	-8075540660498735781337	-8075540660477057415690
vd	36	a	8098667685451549113	8098667685505930363	-8476980144283721813244	-8476980144261510537069
vd	36	m	7020871700065332788	7020871700121475351	-9154416918516716420394	-9154416918493438571036
vd	36	q1	7570102768883101717	7570102768938365703	-8836107737194594097039	-8836107737171848549297
vd	36	q3	6453420456415446683	6453420456472463222	-9433393306824309130584	-9433393306800501579440
vd	37	a	5870104612555277364	5870104612613163352	-9674513394044590657466	-9674513394020256210111
vd	37	m	4664853052077854265	4664853052137457574	-10049037633572569117534	-10049037633547192499182
vd	37	q1	5273189935162908347	5273189935221656820	-9879243312174531593326	-9879243312149674009126
vd	37	q3	4047182193583767168	4047182193644217221	-10185338205694196920220	-10185338205668305693833
vd	38	a	3422178003741229448	3422178003802517731	-10289573021086436174373	-10289573021060035000824
vd	38	m	2157739616036203583	2157739616099143999	-10407481550138288244336	-10407481550110880168137
vd	38	q1	2791754419595110903	2791754419657228179	-10363155123401871554542	-10363155123374965397154
vd	38	q3	1521877014055438503	1521877014119195468	-10423932312755036485450	-10423932312727129911651
vd	39	a	885826350090908810	885826350155472338	-10413869414762179454332	-10413869414733779915377
vd	39	m	-380611815776471612	-380611815710327544	-10319554989857548177590	-10319554989828180772450
vd	39	q1	251164804133240517	251164804198599868	-10378635908323290012426	-10378635908294403449681
vd	39	q3	-1008087835049915395	-1008087834982995448	-10237929135071635270252	-10237929135041791817129
vd	40	a	-1629926422474334362	-1629926422406649925	-10135039273796868605814	-10135039273766555460968
vd	40	m	-2851730111810760483	-2851730111741582555	-9870478851898954508324	-9870478851867721911328
vd	40	q1	-2244868250994414994	-2244868250925978176	-10012144004952181661378	-10012144004921405650068
vd	40	q3	-3449403484267020170	-3449403484197098478	-9711255558399459430125	-9711255558367768384811
vd	41	a	-4036853064008981680	-4036853063938328527	-9535661425336814805080	-9535661425304672314998
vd	41	m	-5177296606238094529	-5177296606166018640	-9139983936092761282058	-9139983936059738632976
vd	41	q1	-4613115251907041507	-4613115251835670058	-9344858688301024533798	-9344858688268438041025
vd	41	q3	-5728572260624547419	-5728572260551781440	-8922147570144382632228	-8922147570110931988393
vd	42	a	-6266184310226511279	-6266184310153065543	-8692433304806080562598	-8692433304772208385858
vd	42	m	-7297710898254083895	-7297710898179321093	-8201569784848967173557	-8201569784814276869389
vd	42	q1	-6789440168678488504	-6789440168604376740	-8451897708394229366629	-8451897708359943797293
vd	42	q3	-7790429515731393160	-7790429515655994558	-7942450595798836526729	-7942450595763750253536
vd	43	a	-8267089276417929849	-8267089276341901959	-7675512922782035974268	-7675512922746557106660
vd	43	m	-9170496012079381503	-9170496012002139644	-7121930102544682576085	-7121930102508443976228
vd	43	q1	-8727241938777184998	-8727241938700541806	-7401700969326491202652	-7401700969290627683587
vd	43	q3	-9596514989476522452	-9596514989398699075	-6837086633853877481272	-6837086633817273568525
vd	44	a	-10005015568876766209	-10005015568798375967	-6548027638388318700179	-6548027638351357844018
vd	44	m	-10768583607689089195	-10768583607609611267	-5960544369718480644265	-5960544369680832371886
