segment	0	((0 : ℚ) / 1)	((1 : ℚ) / 256)	9	0	1
segment	1	((1 : ℚ) / 256)	((3 : ℚ) / 512)	8	0	1
segment	2	((3 : ℚ) / 512)	((7 : ℚ) / 1024)	7	0	1
segment	3	((7 : ℚ) / 1024)	((1 : ℚ) / 128)	7	0	3
segment	4	((1 : ℚ) / 128)	((65 : ℚ) / 8192)	4	0	1
segment	5	((65 : ℚ) / 8192)	((131 : ℚ) / 16384)	3	0	1
segment	6	((131 : ℚ) / 16384)	((525 : ℚ) / 65536)	1	47743666494256	3
segment	7	((525 : ℚ) / 65536)	((263 : ℚ) / 32768)	1	246507014530779	1
segment	8	((263 : ℚ) / 32768)	((33 : ℚ) / 4096)	2	1163412018651791	1
segment	9	((33 : ℚ) / 4096)	((17 : ℚ) / 2048)	5	38702611775008840	1
segment	10	((17 : ℚ) / 2048)	((9 : ℚ) / 1024)	6	197465825035575463	1
segment	11	((9 : ℚ) / 1024)	((5 : ℚ) / 512)	7	598702544688215604	1
segment	12	((5 : ℚ) / 512)	((11 : ℚ) / 1024)	7	508646364910862614	1
segment	13	((11 : ℚ) / 1024)	((3 : ℚ) / 256)	7	223682958559218670	3
segment	14	((3 : ℚ) / 256)	((49 : ℚ) / 4096)	5	10012323732573917	3
segment	15	((49 : ℚ) / 4096)	((785 : ℚ) / 65536)	1	87154830682377	1
segment	16	((785 : ℚ) / 65536)	((393 : ℚ) / 32768)	1	34133559451587	3
segment	17	((393 : ℚ) / 32768)	((197 : ℚ) / 16384)	2	0	1
segment	18	((197 : ℚ) / 16384)	((99 : ℚ) / 8192)	3	0	1
segment	19	((99 : ℚ) / 8192)	((25 : ℚ) / 2048)	4	0	1
segment	20	((25 : ℚ) / 2048)	((13 : ℚ) / 1024)	6	0	3
segment	21	((13 : ℚ) / 1024)	((7 : ℚ) / 512)	7	0	3
segment	22	((7 : ℚ) / 512)	((15 : ℚ) / 1024)	7	0	3
segment	23	((15 : ℚ) / 1024)	((31 : ℚ) / 2048)	6	0	1
segment	24	((31 : ℚ) / 2048)	((1 : ℚ) / 64)	6	0	3
segment	25	((1 : ℚ) / 64)	((65 : ℚ) / 4096)	5	0	1
segment	26	((65 : ℚ) / 4096)	((131 : ℚ) / 8192)	4	0	3
segment	27	((131 : ℚ) / 8192)	((1049 : ℚ) / 65536)	1	0	1
segment	28	((1049 : ℚ) / 65536)	((525 : ℚ) / 32768)	1	2427589646901	3
segment	29	((525 : ℚ) / 32768)	((263 : ℚ) / 16384)	2	57008314614077	1
segment	30	((263 : ℚ) / 16384)	((33 : ℚ) / 2048)	3	396394414246297	1
segment	31	((33 : ℚ) / 2048)	((67 : ℚ) / 4096)	5	5147516690492541	3
segment	32	((67 : ℚ) / 4096)	((17 : ℚ) / 1024)	5	10254171705969385	1
segment	33	((17 : ℚ) / 1024)	((35 : ℚ) / 2048)	6	32244961271946973	3
segment	34	((35 : ℚ) / 2048)	((9 : ℚ) / 512)	6	41439148335941818	1
segment	35	((9 : ℚ) / 512)	((19 : ℚ) / 1024)	7	81302736569914783	3
segment	36	((19 : ℚ) / 1024)	((39 : ℚ) / 2048)	6	28776239546199626	3
segment	37	((39 : ℚ) / 2048)	((5 : ℚ) / 256)	6	16823947136408887	3
segment	38	((5 : ℚ) / 256)	((81 : ℚ) / 4096)	5	3730034861813464	3
segment	39	((81 : ℚ) / 4096)	((163 : ℚ) / 8192)	4	730647806418360	3
segment	40	((163 : ℚ) / 8192)	((653 : ℚ) / 32768)	2	68188021419448	1
segment	41	((653 : ℚ) / 32768)	((1307 : ℚ) / 65536)	1	17206874994259	1
segment	42	((1307 : ℚ) / 65536)	((327 : ℚ) / 16384)	1	6022566870185	3
segment	43	((327 : ℚ) / 16384)	((1309 : ℚ) / 65536)	1	323471593172	3
segment	44	((1309 : ℚ) / 65536)	((655 : ℚ) / 32768)	1	0	1
segment	45	((655 : ℚ) / 32768)	((41 : ℚ) / 2048)	2	0	1
segment	46	((41 : ℚ) / 2048)	((165 : ℚ) / 8192)	4	0	3
segment	47	((165 : ℚ) / 8192)	((83 : ℚ) / 4096)	4	0	1
segment	48	((83 : ℚ) / 4096)	((21 : ℚ) / 1024)	5	0	1
segment	49	((21 : ℚ) / 1024)	((43 : ℚ) / 2048)	6	0	3
segment	50	((43 : ℚ) / 2048)	((11 : ℚ) / 512)	6	0	3
segment	51	((11 : ℚ) / 512)	((45 : ℚ) / 2048)	6	0	3
segment	52	((45 : ℚ) / 2048)	((23 : ℚ) / 1024)	6	0	3
segment	53	((23 : ℚ) / 1024)	((47 : ℚ) / 2048)	6	0	3
segment	54	((47 : ℚ) / 2048)	((3 : ℚ) / 128)	6	0	3
segment	55	((3 : ℚ) / 128)	((97 : ℚ) / 4096)	5	0	1
segment	56	((97 : ℚ) / 4096)	((49 : ℚ) / 2048)	5	0	3
segment	57	((49 : ℚ) / 2048)	((393 : ℚ) / 16384)	3	0	1
segment	58	((393 : ℚ) / 16384)	((787 : ℚ) / 32768)	2	0	1
segment	59	((787 : ℚ) / 32768)	((1575 : ℚ) / 65536)	1	2843843659804	3
segment	60	((1575 : ℚ) / 65536)	((197 : ℚ) / 8192)	1	13921466461116	1
segment	61	((197 : ℚ) / 8192)	((99 : ℚ) / 4096)	4	752655509098889	3
segment	62	((99 : ℚ) / 4096)	((25 : ℚ) / 1024)	5	5499404149600587	3
segment	63	((25 : ℚ) / 1024)	((51 : ℚ) / 2048)	6	33432987828337889	3
segment	64	((51 : ℚ) / 2048)	((13 : ℚ) / 512)	6	80241570260012866	1
segment	65	((13 : ℚ) / 512)	((7 : ℚ) / 256)	8	1544350776837008493	3
segment	66	((7 : ℚ) / 256)	((1 : ℚ) / 32)	9	25425876435550116753	3
segment	67	((1 : ℚ) / 32)	((3 : ℚ) / 64)	11	464498144485368615688	3
segment	68	((3 : ℚ) / 64)	((1 : ℚ) / 16)	11	933694708163956010120	3
segment	69	((1 : ℚ) / 16)	((5 : ℚ) / 64)	11	1532373068558381370035	1
segment	70	((5 : ℚ) / 64)	((3 : ℚ) / 32)	11	2339009588188216703732	1
segment	71	((3 : ℚ) / 32)	((7 : ℚ) / 64)	11	3111791782014938401984	1
segment	72	((7 : ℚ) / 64)	((1 : ℚ) / 8)	11	4014558399665209667827	1
segment	73	((1 : ℚ) / 8)	((9 : ℚ) / 64)	11	5008359800089928190071	1
segment	74	((9 : ℚ) / 64)	((5 : ℚ) / 32)	11	5970369330905022212088	1
segment	75	((5 : ℚ) / 32)	((11 : ℚ) / 64)	11	7022094319541218202714	1
segment	76	((11 : ℚ) / 64)	((3 : ℚ) / 16)	11	8078898843469484640539	1
segment	77	((3 : ℚ) / 16)	((13 : ℚ) / 64)	11	9120578297025673063911	1
segment	78	((13 : ℚ) / 64)	((7 : ℚ) / 32)	11	10180681389587648593545	1
segment	79	((7 : ℚ) / 32)	((15 : ℚ) / 64)	11	11209121069739902653026	1
segment	80	((15 : ℚ) / 64)	((1 : ℚ) / 4)	11	12216590035749177810505	1
segment	81	((1 : ℚ) / 4)	((17 : ℚ) / 64)	11	13176720706913722066226	1
segment	82	((17 : ℚ) / 64)	((9 : ℚ) / 32)	11	14093847064045555629331	1
segment	83	((9 : ℚ) / 32)	((19 : ℚ) / 64)	11	14952929233232779140267	1
segment	84	((19 : ℚ) / 64)	((5 : ℚ) / 16)	11	15730826065838644995667	1
segment	85	((5 : ℚ) / 16)	((21 : ℚ) / 64)	11	16449668032347485631451	1
segment	86	((21 : ℚ) / 64)	((11 : ℚ) / 32)	11	17073809781139993610063	1
segment	87	((11 : ℚ) / 32)	((23 : ℚ) / 64)	11	17620032114450809659063	1
segment	88	((23 : ℚ) / 64)	((3 : ℚ) / 8)	11	18076793735727416083592	1
segment	89	((3 : ℚ) / 8)	((25 : ℚ) / 64)	11	18447655273495474511705	1
segment	90	((25 : ℚ) / 64)	((13 : ℚ) / 32)	11	18731111142510176479274	1
segment	91	((13 : ℚ) / 32)	((27 : ℚ) / 64)	11	18932147644877929402196	1
segment	92	((27 : ℚ) / 64)	((7 : ℚ) / 16)	11	19041109140762109773847	1
segment	93	((7 : ℚ) / 16)	((29 : ℚ) / 64)	11	19066717882993652593909	1
segment	94	((29 : ℚ) / 64)	((15 : ℚ) / 32)	11	18998118092376511891907	1
segment	95	((15 : ℚ) / 32)	((31 : ℚ) / 64)	11	18841499880370143581363	1
segment	96	((31 : ℚ) / 64)	((1 : ℚ) / 2)	11	18602712066847964729904	1
segment	97	((1 : ℚ) / 2)	((33 : ℚ) / 64)	11	18273575499468885552875	1
segment	98	((33 : ℚ) / 64)	((17 : ℚ) / 32)	11	17863726585992945747157	1
segment	99	((17 : ℚ) / 32)	((35 : ℚ) / 64)	11	17374860907524193159022	1
segment	100	((35 : ℚ) / 64)	((9 : ℚ) / 16)	11	16805552261589288552954	1
segment	101	((9 : ℚ) / 16)	((37 : ℚ) / 64)	11	16171257480801733768721	1
segment	102	((37 : ℚ) / 64)	((19 : ℚ) / 32)	11	15474179039415114701253	1
segment	103	((19 : ℚ) / 32)	((39 : ℚ) / 64)	11	14716308381907880315517	1
segment	104	((39 : ℚ) / 64)	((5 : ℚ) / 8)	11	13914234000655788591415	1
segment	105	((5 : ℚ) / 8)	((41 : ℚ) / 64)	11	13064183477944953699124	1
segment	106	((41 : ℚ) / 64)	((21 : ℚ) / 32)	11	12178411690005241915045	1
segment	107	((21 : ℚ) / 32)	((43 : ℚ) / 64)	11	11276906505622783753658	1
segment	108	((43 : ℚ) / 64)	((11 : ℚ) / 16)	11	10363458377502659765273	1
segment	109	((11 : ℚ) / 16)	((45 : ℚ) / 64)	11	9464374561521706086752	1
segment	110	((45 : ℚ) / 64)	((23 : ℚ) / 32)	11	8594348959771655071414	1
segment	111	((23 : ℚ) / 32)	((47 : ℚ) / 64)	11	7751915151583505277496	1
segment	112	((47 : ℚ) / 64)	((3 : ℚ) / 4)	11	6957874546523885583799	1
segment	113	((3 : ℚ) / 4)	((49 : ℚ) / 64)	11	6200805192246963688653	1
segment	114	((49 : ℚ) / 64)	((25 : ℚ) / 32)	11	5473873862795029891592	1
segment	115	((25 : ℚ) / 32)	((51 : ℚ) / 64)	11	4792123078109297973128	1
segment	116	((51 : ℚ) / 64)	((13 : ℚ) / 16)	11	4133677858968225806937	1
segment	117	((13 : ℚ) / 16)	((53 : ℚ) / 64)	11	3505649959677064576118	1
segment	118	((53 : ℚ) / 64)	((27 : ℚ) / 32)	11	2924381116771946448554	1
segment	119	((27 : ℚ) / 32)	((55 : ℚ) / 64)	11	2367794481428001083235	1
segment	120	((55 : ℚ) / 64)	((7 : ℚ) / 8)	11	1858365474273310710865	1
segment	121	((7 : ℚ) / 8)	((57 : ℚ) / 64)	11	1410847448390833294549	1
segment	122	((57 : ℚ) / 64)	((29 : ℚ) / 32)	11	1005992757407131773253	3
segment	123	((29 : ℚ) / 32)	((59 : ℚ) / 64)	11	678280435950028478595	3
segment	124	((59 : ℚ) / 64)	((15 : ℚ) / 16)	11	422831823974031907351	3
segment	125	((15 : ℚ) / 16)	((121 : ℚ) / 128)	10	131587893876453790503	3
segment	126	((121 : ℚ) / 128)	((61 : ℚ) / 64)	10	92048095138538959546	3
segment	127	((61 : ℚ) / 64)	((123 : ℚ) / 128)	10	66237976026457912903	3
segment	128	((123 : ℚ) / 128)	((31 : ℚ) / 32)	10	40499510835443801842	3
segment	129	((31 : ℚ) / 32)	((249 : ℚ) / 256)	9	13089825652578451537	3
segment	130	((249 : ℚ) / 256)	((125 : ℚ) / 128)	9	10079305540754511704	3
segment	131	((125 : ℚ) / 128)	((251 : ℚ) / 256)	9	8136605237364268576	3
segment	132	((251 : ℚ) / 256)	((503 : ℚ) / 512)	8	2925308707323454556	1
segment	133	((503 : ℚ) / 512)	((63 : ℚ) / 64)	8	1960606539842071670	3
segment	134	((63 : ℚ) / 64)	((505 : ℚ) / 512)	8	1089897779831541345	3
segment	135	((505 : ℚ) / 512)	((1011 : ℚ) / 1024)	7	295376263132913336	1
segment	136	((1011 : ℚ) / 1024)	((253 : ℚ) / 256)	7	178678852429234525	3
segment	137	((253 : ℚ) / 256)	((1013 : ℚ) / 1024)	7	96994770680728927	3
segment	138	((1013 : ℚ) / 1024)	((2027 : ℚ) / 2048)	6	27341907022942951	3
segment	139	((2027 : ℚ) / 2048)	((507 : ℚ) / 512)	6	17440663663860379	3
segment	140	((507 : ℚ) / 512)	((2029 : ℚ) / 2048)	6	10120379657509476	3
segment	141	((2029 : ℚ) / 2048)	((4059 : ℚ) / 4096)	5	2997933038314662	3
segment	142	((4059 : ℚ) / 4096)	((1015 : ℚ) / 1024)	5	1932875182132760	3
segment	143	((1015 : ℚ) / 1024)	((8121 : ℚ) / 8192)	4	630533345759436	1
segment	144	((8121 : ℚ) / 8192)	((4061 : ℚ) / 4096)	4	437370554038582	3
segment	145	((4061 : ℚ) / 4096)	((8123 : ℚ) / 8192)	4	265430606115378	3
segment	146	((8123 : ℚ) / 8192)	((16247 : ℚ) / 16384)	3	74477108886441	1
segment	147	((16247 : ℚ) / 16384)	((2031 : ℚ) / 2048)	3	38804307122015	3
segment	148	((2031 : ℚ) / 2048)	((32497 : ℚ) / 32768)	2	6733680380153	3
segment	149	((32497 : ℚ) / 32768)	((64995 : ℚ) / 65536)	1	669054086055	3
segment	150	((64995 : ℚ) / 65536)	((16249 : ℚ) / 16384)	1	0	3
segment	151	((16249 : ℚ) / 16384)	((32499 : ℚ) / 32768)	2	0	3
segment	152	((32499 : ℚ) / 32768)	((8125 : ℚ) / 8192)	2	0	1
segment	153	((8125 : ℚ) / 8192)	((16251 : ℚ) / 16384)	3	0	3
segment	154	((16251 : ℚ) / 16384)	((4063 : ℚ) / 4096)	3	0	1
segment	155	((4063 : ℚ) / 4096)	((8127 : ℚ) / 8192)	4	0	3
segment	156	((8127 : ℚ) / 8192)	((127 : ℚ) / 128)	4	0	3
segment	157	((127 : ℚ) / 128)	((8129 : ℚ) / 8192)	4	0	3
